eV n k
1.180 1.44983 0.00000 
1.190 1.44983 0.00000 
1.200 1.45017 0.00000 
1.210 1.45017 0.00000 
1.220 1.45017 0.00000 
1.230 1.45017 0.00000 
1.240 1.45052 0.00000 
1.250 1.45052 0.00000 
1.260 1.45052 0.00000 
1.270 1.45086 0.00000 
1.280 1.45086 0.00000 
1.290 1.45086 0.00000 
1.300 1.45086 0.00000 
1.310 1.45121 0.00000 
1.320 1.45121 0.00000 
1.330 1.45121 0.00000 
1.340 1.45155 0.00000 
1.350 1.45155 0.00000 
1.360 1.45155 0.00000 
1.370 1.45155 0.00000 
1.380 1.45190 0.00000 
1.390 1.45190 0.00000 
1.400 1.45190 0.00000 
1.410 1.45224 0.00000 
1.420 1.45224 0.00000 
1.430 1.45224 0.00000 
1.440 1.45224 0.00000 
1.450 1.45258 0.00000 
1.460 1.45258 0.00000 
1.470 1.45258 0.00000 
1.480 1.45258 0.00000 
1.490 1.45293 0.00000 
1.500 1.45293 0.00000 
1.510 1.45293 0.00000 
1.520 1.45293 0.00000 
1.530 1.45327 0.00000 
1.540 1.45327 0.00000 
1.550 1.45327 0.00000 
1.560 1.45327 0.00000 
1.570 1.45362 0.00000 
1.580 1.45362 0.00000 
1.590 1.45362 0.00000 
1.600 1.45396 0.00000 
1.610 1.45396 0.00000 
1.620 1.45396 0.00000 
1.630 1.45396 0.00000 
1.640 1.45430 0.00000 
1.650 1.45430 0.00000 
1.660 1.45430 0.00000 
1.670 1.45430 0.00000 
1.680 1.45465 0.00000 
1.690 1.45465 0.00000 
1.700 1.45465 0.00000 
1.710 1.45465 0.00000 
1.720 1.45499 0.00000 
1.730 1.45499 0.00000 
1.740 1.45499 0.00000 
1.750 1.45499 0.00000 
1.760 1.45534 0.00000 
1.770 1.45534 0.00000 
1.780 1.45534 0.00000 
1.790 1.45534 0.00000 
1.800 1.45568 0.00000 
1.810 1.45568 0.00000 
1.820 1.45568 0.00000 
1.830 1.45602 0.00000 
1.840 1.45602 0.00000 
1.850 1.45602 0.00000 
1.860 1.45602 0.00000 
1.870 1.45637 0.00000 
1.880 1.45637 0.00000 
1.890 1.45637 0.00000 
1.900 1.45637 0.00000 
1.910 1.45671 0.00000 
1.920 1.45671 0.00000 
1.930 1.45671 0.00000 
1.940 1.45671 0.00000 
1.950 1.45705 0.00000 
1.960 1.45705 0.00000 
1.970 1.45705 0.00000 
1.980 1.45739 0.00000 
1.990 1.45739 0.00000 
2.000 1.45739 0.00000 
2.010 1.45739 0.00000 
2.020 1.45774 0.00000 
2.030 1.45774 0.00000 
2.040 1.45774 0.00000 
2.050 1.45808 0.00000 
2.060 1.45808 0.00000 
2.070 1.45808 0.00000 
2.080 1.45808 0.00000 
2.090 1.45842 0.00000 
2.100 1.45842 0.00000 
2.110 1.45842 0.00000 
2.120 1.45842 0.00000 
2.130 1.45877 0.00000 
2.140 1.45877 0.00000 
2.150 1.45877 0.00000 
2.160 1.45911 0.00000 
2.170 1.45911 0.00000 
2.180 1.45911 0.00000 
2.190 1.45945 0.00000 
2.200 1.45945 0.00000 
2.210 1.45945 0.00000 
2.220 1.45945 0.00000 
2.230 1.45979 0.00000 
2.240 1.45979 0.00000 
2.250 1.45979 0.00000 
2.260 1.46014 0.00000 
2.270 1.46014 0.00000 
2.280 1.46014 0.00000 
2.290 1.46048 0.00000 
2.300 1.46048 0.00000 
2.310 1.46048 0.00000 
2.320 1.46048 0.00000 
2.330 1.46082 0.00000 
2.340 1.46082 0.00000 
2.350 1.46082 0.00000 
2.360 1.46116 0.00000 
2.370 1.46116 0.00000 
2.380 1.46116 0.00000 
2.390 1.46151 0.00000 
2.400 1.46151 0.00000 
2.410 1.46151 0.00000 
2.420 1.46185 0.00000 
2.430 1.46185 0.00000 
2.440 1.46185 0.00000 
2.450 1.46219 0.00000 
2.460 1.46219 0.00000 
2.470 1.46219 0.00000 
2.480 1.46253 0.00000 
2.490 1.46253 0.00000 
2.500 1.46253 0.00000 
2.510 1.46253 0.00000 
2.520 1.46287 0.00000 
2.530 1.46287 0.00000 
2.540 1.46287 0.00000 
2.550 1.46322 0.00000 
2.560 1.46322 0.00000 
2.570 1.46322 0.00000 
2.580 1.46356 0.00000 
2.590 1.46356 0.00000 
2.600 1.46390 0.00000 
2.610 1.46390 0.00000 
2.620 1.46390 0.00000 
2.630 1.46424 0.00000 
2.640 1.46424 0.00000 
2.650 1.46424 0.00000 
2.660 1.46458 0.00000 
2.670 1.46458 0.00000 
2.680 1.46458 0.00000 
2.690 1.46492 0.00000 
2.700 1.46492 0.00000 
2.710 1.46492 0.00000 
2.720 1.46526 0.00000 
2.730 1.46526 0.00000 
2.740 1.46526 0.00000 
2.750 1.46561 0.00000 
2.760 1.46561 0.00000 
2.770 1.46595 0.00000 
2.780 1.46595 0.00000 
2.790 1.46595 0.00000 
2.800 1.46629 0.00000 
2.810 1.46629 0.00000 
2.820 1.46629 0.00000 
2.830 1.46663 0.00000 
2.840 1.46663 0.00000 
2.850 1.46663 0.00000 
2.860 1.46697 0.00000 
2.870 1.46697 0.00000 
2.880 1.46731 0.00000 
2.890 1.46731 0.00000 
2.900 1.46731 0.00000 
2.910 1.46765 0.00000 
2.920 1.46765 0.00000 
2.930 1.46799 0.00000 
2.940 1.46799 0.00000 
2.950 1.46799 0.00000 
2.960 1.46833 0.00000 
2.970 1.46833 0.00000 
2.980 1.46867 0.00000 
2.990 1.46867 0.00000 
3.000 1.46867 0.00000 
3.010 1.46901 0.00000 
3.020 1.46901 0.00000 
3.030 1.46935 0.00000 
3.040 1.46935 0.00000 
3.050 1.46935 0.00000 
3.060 1.46969 0.00000 
3.070 1.46969 0.00000 
3.080 1.47003 0.00000 
3.090 1.47003 0.00000 
3.100 1.47003 0.00000 
3.110 1.47037 0.00000 
3.120 1.47037 0.00000 
3.130 1.47071 0.00000 
3.140 1.47071 0.00000 
3.150 1.47105 0.00000 
3.160 1.47105 0.00000 
3.170 1.47105 0.00000 
3.180 1.47139 0.00000 
3.190 1.47139 0.00000 
3.200 1.47173 0.00000 
3.210 1.47173 0.00000 
3.220 1.47207 0.00000 
3.230 1.47207 0.00000 
3.240 1.47207 0.00000 
3.250 1.47241 0.00000 
3.260 1.47241 0.00000 
3.270 1.47275 0.00000 
3.280 1.47275 0.00000 
3.290 1.47309 0.00000 
3.300 1.47309 0.00000 
3.310 1.47343 0.00000 
3.320 1.47343 0.00000 
3.330 1.47343 0.00000 
3.340 1.47377 0.00000 
3.350 1.47377 0.00000 
3.360 1.47411 0.00000 
3.370 1.47411 0.00000 
3.380 1.47445 0.00000 
3.390 1.47445 0.00000 
3.400 1.47445 0.00000 
3.410 1.47479 0.00000 
3.420 1.47479 0.00000 
3.430 1.47513 0.00000 
3.440 1.47513 0.00000 
3.450 1.47547 0.00000 
3.460 1.47547 0.00000 
3.470 1.47580 0.00000 
3.480 1.47580 0.00000 
3.490 1.47614 0.00000 
3.500 1.47614 0.00000 
3.510 1.47648 0.00000 
3.520 1.47648 0.00000 
3.530 1.47682 0.00000 
3.540 1.47682 0.00000 
3.550 1.47716 0.00000 
3.560 1.47716 0.00000 
3.570 1.47750 0.00000 
3.580 1.47750 0.00000 
3.590 1.47784 0.00000 
3.600 1.47784 0.00000 
3.610 1.47817 0.00000 
3.620 1.47817 0.00000 
3.630 1.47851 0.00000 
3.640 1.47851 0.00000 
3.650 1.47885 0.00000 
3.660 1.47885 0.00000 
3.670 1.47919 0.00000 
3.680 1.47919 0.00000 
3.690 1.47953 0.00000 
3.700 1.47953 0.00000 
3.710 1.47986 0.00000 
3.720 1.47986 0.00000 
3.730 1.48020 0.00000 
3.740 1.48020 0.00000 
3.750 1.48054 0.00000 
3.760 1.48054 0.00000 
3.770 1.48088 0.00000 
3.780 1.48122 0.00000 
3.790 1.48122 0.00000 
3.800 1.48155 0.00000 
3.810 1.48155 0.00000 
3.820 1.48189 0.00000 
3.830 1.48189 0.00000 
3.840 1.48223 0.00000 
3.850 1.48223 0.00000 
3.860 1.48257 0.00000 
3.870 1.48290 0.00000 
3.880 1.48290 0.00000 
3.890 1.48324 0.00000 
3.900 1.48324 0.00000 
3.910 1.48358 0.00000 
3.920 1.48358 0.00000 
3.930 1.48391 0.00000 
3.940 1.48425 0.00000 
3.950 1.48425 0.00000 
3.960 1.48459 0.00000 
3.970 1.48459 0.00000 
3.980 1.48492 0.00000 
3.990 1.48492 0.00000 
4.000 1.48526 0.00000 
4.010 1.48560 0.00000 
4.020 1.48560 0.00000 
4.030 1.48593 0.00000 
4.040 1.48593 0.00000 
4.050 1.48627 0.00000 
4.060 1.48627 0.00000 
4.070 1.48661 0.00000 
4.080 1.48694 0.00000 
4.090 1.48694 0.00000 
4.100 1.48728 0.00000 
4.110 1.48728 0.00000 
4.120 1.48762 0.00000 
4.130 1.48762 0.00000 
4.140 1.48795 0.00000 
4.150 1.48829 0.00000 
4.160 1.48829 0.00000 
4.170 1.48862 0.00000 
4.180 1.48896 0.00000 
4.190 1.48896 0.00000 
4.200 1.48930 0.00000 
4.210 1.48930 0.00000 
4.220 1.48963 0.00000 
4.230 1.48997 0.00000 
4.240 1.48997 0.00000 
4.250 1.49030 0.00000 
4.260 1.49064 0.00000 
4.270 1.49064 0.00000 
4.280 1.49097 0.00000 
4.290 1.49131 0.00000 
4.300 1.49131 0.00000 
4.310 1.49164 0.00000 
4.320 1.49198 0.00000 
4.330 1.49198 0.00000 
4.340 1.49231 0.00000 
4.350 1.49231 0.00000 
4.360 1.49265 0.00000 
4.370 1.49298 0.00000 
4.380 1.49298 0.00000 
4.390 1.49332 0.00000 
4.400 1.49365 0.00000 
4.410 1.49365 0.00000 
4.420 1.49399 0.00000 
4.430 1.49432 0.00000 
4.440 1.49432 0.00000 
4.450 1.49466 0.00000 
4.460 1.49499 0.00000 
4.470 1.49533 0.00000 
4.480 1.49533 0.00000 
4.490 1.49566 0.00000 
4.500 1.49599 0.00000 
4.510 1.49599 0.00000 
4.520 1.49633 0.00000 
